task_id,judge_model,n_calls,verdicts,judge_product,deferred_reward,final_reward,final_success,status,scored_at
8,mistral-large-2512,1,[0.0],0.0,1.0,0.0,False,scored,2026-08-21T08:36:44+00:00
16,mistral-large-2512,2,"[0.0, 0.0]",0.0,1.0,0.0,False,scored,2026-08-21T08:36:50+00:00
17,mistral-large-2512,2,"[0.0, 0.0]",0.0,1.0,0.0,False,scored,2026-08-21T08:37:57+00:00
18,mistral-large-2512,2,"[0.0, 0.0]",0.0,1.0,0.0,False,scored,2026-08-21T08:38:04+00:00
19,mistral-large-2512,2,"[0.0, 0.0]",0.0,1.0,0.0,False,scored,2026-08-21T08:38:09+00:00
20,mistral-large-2512,2,"[0.0, 0.0]",0.0,1.0,0.0,False,scored,2026-08-21T08:39:16+00:00
22,mistral-large-2512,1,[1.0],1.0,1.0,1.0,True,scored,2026-08-21T08:39:17+00:00
24,mistral-large-2512,1,[1.0],1.0,1.0,1.0,True,scored,2026-08-21T08:39:19+00:00
34,mistral-large-2512,1,[0.0],0.0,0.0,0.0,False,scored,2026-08-21T08:39:23+00:00
47,mistral-large-2512,2,"[0.0, 0.0]",0.0,1.0,0.0,False,scored,2026-08-21T08:40:28+00:00
48,mistral-large-2512,2,"[0.0, 0.0]",0.0,1.0,0.0,False,scored,2026-08-21T08:40:34+00:00
49,mistral-large-2512,2,"[0.0, 0.0]",0.0,1.0,0.0,False,scored,2026-08-21T08:41:57+00:00
50,mistral-large-2512,2,"[0.0, 0.0]",0.0,1.0,0.0,False,scored,2026-08-21T08:42:02+00:00
51,mistral-large-2512,2,"[0.0, 0.0]",0.0,1.0,0.0,False,scored,2026-08-21T08:42:07+00:00
52,mistral-large-2512,1,[0.0],0.0,1.0,0.0,False,scored,2026-08-21T08:42:10+00:00
53,mistral-large-2512,1,[0.0],0.0,1.0,0.0,False,scored,2026-08-21T08:43:12+00:00
54,mistral-large-2512,1,[0.0],0.0,1.0,0.0,False,scored,2026-08-21T08:43:15+00:00
55,mistral-large-2512,1,[0.0],0.0,1.0,0.0,False,scored,2026-08-21T08:43:17+00:00
56,mistral-large-2512,1,[0.0],0.0,1.0,0.0,False,scored,2026-08-21T08:43:22+00:00
74,mistral-large-2512,1,[0.0],0.0,1.0,0.0,False,scored,2026-08-21T08:44:26+00:00
75,mistral-large-2512,1,[0.0],0.0,1.0,0.0,False,scored,2026-08-21T08:44:29+00:00
