generation_step,c,token_id,token_text,memory_count,in_all_memories
2,20,1404,new,2,False
2,20,2441,New,2,False
2,20,3304,Event,1,False
2,20,4102,event,1,False
2,20,5546,First,1,False
2,20,11804,food,1,False
2,20,12828,Customer,1,False
2,20,13644,Food,1,False
2,20,14066,Music,1,False
2,20,15371,customer,1,False
2,20,16707,unique,1,False
2,20,18734,music,1,False
2,20,21257,Excellent,1,False
2,20,27300,Unique,1,False
2,20,30212,positive,6,False
2,20,31827,negative,1,False
2,20,35202,Positive,5,False
2,20,39654,Negative,1,False
2,20,40840,Experience,1,False
2,20,49397,Unexpected,1,False
2,20,52761,enjoy,1,False
2,20,70630,Novel,1,False
2,20,72853,novel,1,False
2,20,111010,delicious,1,False
2,20,177120,Exceptional,1,False
